"", "V1"
160.1666717529297,9.426590574602004e-23
160.25,0.0
160.3333282470703,0.0
160.4166717529297,0.0
160.5,1.978474983207876e-25
160.5833282470703,1.3519708967450814e-25
160.6666717529297,2.4402570856812292e-26
160.75,0.0
160.8333282470703,0.0
160.9166717529297,0.0
161.0,0.0
161.0833282470703,1.4679904472277918e-29
161.1666717529297,4.2952221275091426e-30
161.25,3.404908489628548e-31
161.3333282470703,0.0
161.4166717529297,0.0
161.5,0.0
161.5833282470703,1.0684652228379336e-33
161.6666717529297,6.052271896676039e-34
161.75,9.97744107737981e-35
161.8333282470703,0.0
161.9166717529297,0.0
162.0,0.0
162.0833282470703,0.0
162.1666717529297,6.873968162736573e-38
162.25,1.842933790289123e-38
162.3333282470703,0.0
162.4166717529297,0.0
162.5,0.0
162.5833282470703,0.0
162.6666717529297,0.0
162.75,0.0
162.8333282470703,0.0
162.9166717529297,0.0
163.0,0.0
163.0833282470703,0.0
163.1666717529297,0.0
163.25,0.0
163.3333282470703,0.0
163.4166717529297,0.0
163.5,0.0
163.5833282470703,0.0
163.6666717529297,0.0
163.75,0.0
163.8333282470703,0.0
163.9166717529297,0.0
164.0,0.0
164.0833282470703,0.0
164.1666717529297,0.0
164.25,0.0
164.3333282470703,0.0
164.4166717529297,0.0
164.5,0.0
164.5833282470703,0.0
164.6666717529297,0.0
164.75,0.0
164.8333282470703,0.0
164.9166717529297,0.0
165.0,0.0
165.0833282470703,0.0
165.1666717529297,0.0
165.25,0.0
165.3333282470703,0.0
165.4166717529297,0.0
165.5,0.0
165.5833282470703,0.0
165.6666717529297,0.0
165.75,0.0
165.8333282470703,0.0
165.9166717529297,0.0
166.0,0.0
166.0833282470703,0.0
166.1666717529297,0.0
166.25,0.0
166.3333282470703,0.0
166.4166717529297,0.0
166.5,0.0
166.5833282470703,0.0
166.6666717529297,0.0
166.75,0.0
166.8333282470703,0.0
166.9166717529297,0.0
167.0,0.0
167.0833282470703,0.0
167.1666717529297,0.0
167.25,0.0
167.3333282470703,0.0
167.4166717529297,0.0
167.5,0.0
167.5833282470703,0.0
167.6666717529297,0.0
167.75,0.0
167.8333282470703,0.0
167.9166717529297,0.0
168.0,0.0
168.0833282470703,0.0
168.1666717529297,0.0
168.25,0.0
168.3333282470703,0.0
168.4166717529297,0.0
168.5,0.0
168.5833282470703,0.0
